variable,table,category,status,source,notes
FATHER_DIAG_A_1_M,questionnaire,family_health_history,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
FATHER_DIAG_A_2_M,questionnaire,family_health_history,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
FATHER_DIAG_ANAEMIA_1_M,questionnaire,family_health_history,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
FATHER_DIAG_AUTO_1_M,questionnaire,family_health_history,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
FATHER_DIAG_B_1_M,questionnaire,family_health_history,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
FATHER_DIAG_CANCER_1_M,questionnaire,family_health_history,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
FATHER_DIAG_CANCER_SKIN_1_M,questionnaire,family_health_history,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
FATHER_DIAG_CVD_1_M,questionnaire,family_health_history,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
FATHER_DIAG_ENDOCR_1_M,questionnaire,family_health_history,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
FATHER_DIAG_GASTRO_1_M,questionnaire,family_health_history,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
FATHER_DIAG_NEURO_1_M,questionnaire,family_health_history,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
FATHER_DIAG_NEURO_DEV_1_M,questionnaire,family_health_history,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
FATHER_DIAG_OPTHAL_1_M,questionnaire,family_health_history,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
FATHER_DIAG_OSTEO_1_M,questionnaire,family_health_history,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
FATHER_DIAG_PSYCH_1_M,questionnaire,family_health_history,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
